SchoolName;LastInspection;Permittee;InspectionDate;Level;Code;ViolationDescription;LATITUDE;LONGITUDE;COMMUNITYBOARD;COUNCILDISTRICT
P.S. 247 BROOKLYN;02/02/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;03/02/2022;G;09B;Thawing procedures improper.;4,06123E+11;-7,39867E+13;311;47
P.S. 115 DANIEL MUCATEL SCHOOL;03/01/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;08/04/2022;G;08A;Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.;4,0635E+11;-7,38973E+13;318;46
P.S. 115 DANIEL MUCATEL SCHOOL;03/01/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;08/16/2021;G;08A;Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.;4,0635E+11;-7,38973E+13;318;46
P.S. 115 DANIEL MUCATEL SCHOOL;03/01/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;08/04/2022;C;04N;Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.;4,0635E+11;-7,38973E+13;318;46
P.S. 115 DANIEL MUCATEL SCHOOL;03/01/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;08/16/2021;C;04N;Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.;4,0635E+11;-7,38973E+13;318;46
P.S. 115 DANIEL MUCATEL SCHOOL;03/01/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;08/04/2022;C;04M;Live roaches in facility's food or non-food area.;4,0635E+11;-7,38973E+13;318;46
P.S. 115 DANIEL MUCATEL SCHOOL;03/01/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;08/16/2021;C;04M;Live roaches present in facility's food and/or non-food areas.;4,0635E+11;-7,38973E+13;318;46
P.S. 115 DANIEL MUCATEL SCHOOL;03/01/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;11/09/2020;G;10F;Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,0635E+11;-7,38973E+13;318;46
P.S. 115 DANIEL MUCATEL SCHOOL;03/01/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;08/04/2022;G;10F;Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,0635E+11;-7,38973E+13;318;46
P.S. 115 DANIEL MUCATEL SCHOOL;03/01/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;11/09/2020;G;10B;"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.";4,0635E+11;-7,38973E+13;318;46
P.S. 115 DANIEL MUCATEL SCHOOL;03/01/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;08/16/2021;G;10B;"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.";4,0635E+11;-7,38973E+13;318;46
CONGREGATION MACHNA SHALVA-YESHIVA KATANA OF BOBOV-45;02/14/2023;CONGREGATION MACHNA SHALVA;02/14/2023;G;10E;Accurate thermometer not provided or properly located in refrigerated, cold storage or hot holding equipment;4,06354E+11;-7,39042E+13;318;46
CONGREGATION MACHNA SHALVA-YESHIVA KATANA OF BOBOV-45;02/14/2023;CONGREGATION MACHNA SHALVA;02/14/2023;G;10B;"Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.";4,06354E+11;-7,39042E+13;318;46
CONGREGATION MACHNA SHALVA-YESHIVA KATANA OF BOBOV-45;02/14/2023;CONGREGATION MACHNA SHALVA;02/14/2023;G;08A;Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.;4,06354E+11;-7,39042E+13;318;46
CONGREGATION MACHNA SHALVA-YESHIVA KATANA OF BOBOV-45;02/14/2023;CONGREGATION MACHNA SHALVA;02/14/2023;C;04L;Evidence of mice or live mice in establishment's food or non-food areas.;4,06354E+11;-7,39042E+13;318;46
CONGREGATION MACHNA SHALVA-YESHIVA KATANA OF BOBOV-45;02/14/2023;CONGREGATION MACHNA SHALVA;03/24/2022;C;04L;Evidence of mice or live mice present in facility's food and/or non-food areas.;4,06354E+11;-7,39042E+13;318;46
CONGREGATION MACHNA SHALVA-YESHIVA KATANA OF BOBOV-45;02/14/2023;CONGREGATION MACHNA SHALVA;03/24/2022;G;08A;Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.;4,06354E+11;-7,39042E+13;318;46
CONGREGATION MACHNA SHALVA-YESHIVA KATANA OF BOBOV-45;02/14/2023;CONGREGATION MACHNA SHALVA;02/14/2023;C;06C;Food, supplies, and equipment not protected from potential source of contamination during storage, preparation, transportation, display or service.;4,06354E+11;-7,39042E+13;318;46
CONGREGATION MACHNA SHALVA-YESHIVA KATANA OF BOBOV-45;02/14/2023;CONGREGATION MACHNA SHALVA;05/26/2021;G;10F;Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,06354E+11;-7,39042E+13;318;46
CONGREGATION MACHNA SHALVA-YESHIVA KATANA OF BOBOV-45;02/14/2023;CONGREGATION MACHNA SHALVA;03/24/2022;G;10F;Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,06354E+11;-7,39042E+13;318;46
CONGREGATION MACHNA SHALVA-YESHIVA KATANA OF BOBOV-45;02/14/2023;CONGREGATION MACHNA SHALVA;03/24/2022;AV;22G;Sale or use of certain expanded polystyrene items restricted;4,06354E+11;-7,39042E+13;318;46
CONGREGATION MACHNA SHALVA-YESHIVA KATANA OF BOBOV-45;02/14/2023;CONGREGATION MACHNA SHALVA;05/26/2021;AV;22G;Sale or use of certain expanded polystyrene items restricted;4,06354E+11;-7,39042E+13;318;46
P2G AT OPPORTUNITIES FOR A BETTER TOMORROW;03/08/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;03/08/2023;C;04J;Properly scaled and calibrated thermometer or thermocouple not provided or not readily accessible in food preparation and hot/cold holding areas to measure temperatures of TCS foods during cooking, cooling, reheating, and holding.;4,06575E+11;-7,40044E+13;307;38
P.S. 282 PARK SLOPE;02/03/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;08/06/2021;G;10C;Lighting Inadequate;4,06763E+11;-7,39774E+13;306;39
P.S. 282 PARK SLOPE;02/03/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;01/22/2021;G;10C;Lighting Inadequate;4,06763E+11;-7,39774E+13;306;39
P.S. 282 PARK SLOPE;02/03/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;01/22/2021;G;10F;Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,06763E+11;-7,39774E+13;306;39
URBAN ASSEMBLY NEW YORK HARBOR SCHOOL;03/06/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;03/06/2023;G;10F;Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,06912E+11;-7,40202E+13;101;1
P.S. 001 ALFRED E. SMITH;09/29/2022;NEW YORK CITY DEPARTMENT OF EDUCATION;12/14/2020;C;04L;Evidence of mice or live mice present in facility's food and/or non-food areas.;4,07128E+11;-7,39975E+13;103;1
P.S. 001 ALFRED E. SMITH;09/29/2022;NEW YORK CITY DEPARTMENT OF EDUCATION;12/14/2020;G;08A;Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.;4,07128E+11;-7,39975E+13;103;1
P.S. 001 ALFRED E. SMITH;09/29/2022;NEW YORK CITY DEPARTMENT OF EDUCATION;09/29/2022;G;10F;Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,07128E+11;-7,39975E+13;103;1
NEW AMSTERDAM SCHOOL;01/23/2023;FRIENDS OF THE NEW AMSTERDAM SCHOOL INC;01/23/2023;G;10B;"Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.";4,07235E+11;-7,39824E+13;103;2
NEW AMSTERDAM SCHOOL;01/23/2023;FRIENDS OF THE NEW AMSTERDAM SCHOOL INC;01/23/2023;AV;18-01;Current valid permit, registration or other authorization to operate a Food Service Establishment (FSE) or Non-retail Food Processing Establishment (NRFP) not available.;4,07235E+11;-7,39824E+13;103;2
NEW AMSTERDAM SCHOOL;01/23/2023;FRIENDS OF THE NEW AMSTERDAM SCHOOL INC;09/12/2022;G;10G;Dishwashing and ware washing:  Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.;4,07235E+11;-7,39824E+13;103;2
NEW AMSTERDAM SCHOOL;01/23/2023;FRIENDS OF THE NEW AMSTERDAM SCHOOL INC;01/23/2023;C;06C;Food, supplies, and equipment not protected from potential source of contamination during storage, preparation, transportation, display or service.;4,07235E+11;-7,39824E+13;103;2
NEW AMSTERDAM SCHOOL;01/23/2023;FRIENDS OF THE NEW AMSTERDAM SCHOOL INC;09/12/2022;CP;05D;No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area.  Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.;4,07235E+11;-7,39824E+13;103;2
JOHN F. KENNEDY JR. SCHOOL;02/03/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;04/28/2021;G;10F;Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,07356E+11;-7,38785E+13;404;25
MANHATTAN VILLAGE ACADEMY;09/20/2022;NEW YORK CITY DEPARTMENT OF EDUCATION;01/05/2022;C;04A;Food Protection Certificate not held by supervisor of food operations.;4,07415E+11;-7,39915E+13;105;3
MANHATTAN VILLAGE ACADEMY;09/20/2022;NEW YORK CITY DEPARTMENT OF EDUCATION;03/25/2021;G;10C;Lighting Inadequate;4,07415E+11;-7,39915E+13;105;3
MANHATTAN VILLAGE ACADEMY;09/20/2022;NEW YORK CITY DEPARTMENT OF EDUCATION;03/25/2021;G;10F;Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,07415E+11;-7,39915E+13;105;3
IRWIN ALTMAN MIDDLE SCHOOL 172;02/10/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;02/10/2023;G;10B;"Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.";4,07419E+11;-7,3713E+13;413;23
IRWIN ALTMAN MIDDLE SCHOOL 172;02/10/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;07/07/2021;C;02G;Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.;4,07419E+11;-7,3713E+13;413;23
IRWIN ALTMAN MIDDLE SCHOOL 172;02/10/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;12/07/2020;G;10F;Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,07419E+11;-7,3713E+13;413;23
IRWIN ALTMAN MIDDLE SCHOOL 172;02/10/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;02/10/2023;G;10F;Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,07419E+11;-7,3713E+13;413;23
IRWIN ALTMAN MIDDLE SCHOOL 172;02/10/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;07/07/2021;G;10B;"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.";4,07419E+11;-7,3713E+13;413;23
P.S. 198 ISADOR E. IDA STRAUS, P.S. 77 LOWER LAB SCHOOL;02/07/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;02/07/2023;G;08A;Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.;4,07848E+11;-7,39496E+13;108;5
P.S. 198 ISADOR E. IDA STRAUS, P.S. 77 LOWER LAB SCHOOL;02/07/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;02/07/2023;C;04L;Evidence of mice or live mice in establishment's food or non-food areas.;4,07848E+11;-7,39496E+13;108;5
P.S. 198 ISADOR E. IDA STRAUS, P.S. 77 LOWER LAB SCHOOL;02/07/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;07/28/2022;G;10D;Mechanical or natural ventilation not provided, inadequate, improperly installed, in disrepair or fails to prevent and control excessive build-up of grease, heat, steam condensation, vapors, odors, smoke or fumes.;4,07848E+11;-7,39496E+13;108;5
P.S. 198 ISADOR E. IDA STRAUS, P.S. 77 LOWER LAB SCHOOL;02/07/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;07/28/2022;G;10F;Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,07848E+11;-7,39496E+13;108;5
WEATHERBY PEMBRIDGE SCHOOL;11/16/2022;J.C. FOOD CONSULTANTS INC;11/16/2022;C;04A;Food Protection Certificate (FPC) not held by manager or supervisor of food operations.;4,07877E+11;-7,39554E+13;111;4
WEATHERBY PEMBRIDGE SCHOOL;11/16/2022;J.C. FOOD CONSULTANTS INC;02/28/2022;G;10F;Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,07877E+11;-7,39554E+13;111;4
WEATHERBY PEMBRIDGE SCHOOL;11/16/2022;J.C. FOOD CONSULTANTS INC;11/16/2022;G;10F;Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,07877E+11;-7,39554E+13;111;4
TEACHERS COLLEGE COMMUNITY SCHOOL;10/18/2022;NEW YORK CITY DEPARTMENT OF EDUCATION;10/18/2022;C;04A;Food Protection Certificate (FPC) not held by manager or supervisor of food operations.;4,08124E+11;-7,39533E+13;109;7
TEACHERS COLLEGE COMMUNITY SCHOOL;10/18/2022;NEW YORK CITY DEPARTMENT OF EDUCATION;10/18/2022;G;10F;Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,08124E+11;-7,39533E+13;109;7
SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL, M.S. 223 THE LABORATORY SCHOOL OF FINANCE AND TECHN;01/18/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;01/18/2023;G;10B;"Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.";4,0814E+11;-7,39208E+13;201;8
SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL, M.S. 223 THE LABORATORY SCHOOL OF FINANCE AND TECHN;01/18/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;02/10/2022;G;10F;Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,0814E+11;-7,39208E+13;201;8
SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL, M.S. 223 THE LABORATORY SCHOOL OF FINANCE AND TECHN;01/18/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;01/06/2021;G;10F;Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,0814E+11;-7,39208E+13;201;8
SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL, M.S. 223 THE LABORATORY SCHOOL OF FINANCE AND TECHN;01/18/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;01/18/2023;G;10F;Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,0814E+11;-7,39208E+13;201;8
P.S. 055 HENRY M. BOEHM;03/21/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;08/09/2021;G;10F;Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,05366E+12;-7,41638E+13;503;51
AHI EZER YESHIVA;02/14/2023;AHI EZER YESHIVA;03/04/2022;G;10E;Accurate thermometer not provided in refrigerated or hot holding equipment.;4,05902E+12;-7,39653E+13;315;48
AHI EZER YESHIVA;02/14/2023;AHI EZER YESHIVA;02/14/2023;G;10B;"Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.";4,05902E+12;-7,39653E+13;315;48
AHI EZER YESHIVA;02/14/2023;AHI EZER YESHIVA;02/14/2023;C;06D;Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.;4,05902E+12;-7,39653E+13;315;48
AHI EZER YESHIVA;02/14/2023;AHI EZER YESHIVA;06/16/2022;C;06C;Food not protected from potential source of contamination during storage, preparation, transportation, display or service.;4,05902E+12;-7,39653E+13;315;48
AHI EZER YESHIVA;02/14/2023;AHI EZER YESHIVA;03/04/2022;C;04A;Food Protection Certificate not held by supervisor of food operations.;4,05902E+12;-7,39653E+13;315;48
AHI EZER YESHIVA;02/14/2023;AHI EZER YESHIVA;02/14/2023;C;06C;Food, supplies, and equipment not protected from potential source of contamination during storage, preparation, transportation, display or service.;4,05902E+12;-7,39653E+13;315;48
AHI EZER YESHIVA;02/14/2023;AHI EZER YESHIVA;03/04/2022;G;10J;Hand wash sign not posted;4,05902E+12;-7,39653E+13;315;48
AHI EZER YESHIVA;02/14/2023;AHI EZER YESHIVA;02/14/2023;CP;05D;No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area.  Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.;4,05902E+12;-7,39653E+13;315;48
AHI EZER YESHIVA;02/14/2023;AHI EZER YESHIVA;06/16/2022;G;10F;Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,05902E+12;-7,39653E+13;315;48
AHI EZER YESHIVA;02/14/2023;AHI EZER YESHIVA;03/04/2022;G;10B;"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.";4,05902E+12;-7,39653E+13;315;48
AHI EZER YESHIVA;02/14/2023;AHI EZER YESHIVA;06/16/2022;C;04H;Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.;4,05902E+12;-7,39653E+13;315;48
AHI EZER YESHIVA;02/14/2023;AHI EZER YESHIVA;03/04/2022;C;06B;Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.;4,05902E+12;-7,39653E+13;315;48
P.S. 254 DAG HAMMARSKJOLD;02/07/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;11/13/2020;G;10F;Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,05904E+12;-7,39518E+13;315;48
P.S. 254 DAG HAMMARSKJOLD;02/07/2023;NEW YORK CITY DEPARTMENT OF EDUCATION;03/24/2022;G;10I;"Single service item reused, improperly stored, dispensed; not used when required.";4,05904E+12;-7,39518E+13;315;48
GOLDIE MAPLE ACADEMY, P256Q AT Q198;11/04/2022;NEW YORK CITY DEPARTMENT OF EDUCATION;11/04/2022;G;10B;"Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.";4,0594E+12;-7,37862E+13;414;31
GOLDIE MAPLE ACADEMY, P256Q AT Q198;11/04/2022;NEW YORK CITY DEPARTMENT OF EDUCATION;11/04/2022;G;10C;"Lighting inadequate; permanent lighting not provided in food preparation areas, ware washing areas, and storage rooms. Shatterproof bulb or shield to prevent broken glass from falling into food or onto surfaces, not installed.";4,0594E+12;-7,37862E+13;414;31
GOLDIE MAPLE ACADEMY, P256Q AT Q198;11/04/2022;NEW YORK CITY DEPARTMENT OF EDUCATION;08/17/2021;C;04M;Live roaches present in facility's food and/or non-food areas.;4,0594E+12;-7,37862E+13;414;31
GOLDIE MAPLE ACADEMY, P256Q AT Q198;11/04/2022;NEW YORK CITY DEPARTMENT OF EDUCATION;11/04/2022;G;10F;Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;4,0594E+12;-7,37862E+13;414;31
YESHIVA DARCHEI TORAH;11/14/2022;CONGREGATION YESHIVA DARCHEI TORAH;11/14/2022;G;10E;Accurate thermometer not provided or properly located in refrigerated, cold storage or hot holding equipment;4,05967E+12;-7,37511E+13;414;31
YESHIVA DARCHEI TORAH;11/14/2022;CONGREGATION YESHIVA DARCHEI TORAH;08/15/2022;G;10B;"Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.";4,05967E+12;-7,37511E+13;414;31
YESHIVA DARCHEI TORAH;11/14/2022;CONGREGATION YESHIVA DARCHEI TORAH;03/07/2022;G;09A;Canned food product observed dented and not segregated from other consumable food items.;4,05967E+12;-7,37511E+13;414;31
YESHIVA DARCHEI TORAH;11/14/2022;CONGREGATION YESHIVA DARCHEI TORAH;11/14/2022;G;10G;Dishwashing and ware washing:  Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.;4,05967E+12;-7,37511E+13;414;31
YESHIVA DARCHEI TORAH;11/14/2022;CONGREGATION YESHIVA DARCHEI TORAH;08/05/2022;G;08A;Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.;4,05967E+12;-7,37511E+13;414;31
YESHIVA DARCHEI TORAH;11/14/2022;CONGREGATION YESHIVA DARCHEI TORAH;08/15/2022;G;08A;Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.;4,05967E+12;-7,37511E+13;414;31
YESHIVA DARCHEI TORAH;11/14/2022;CONGREGATION YESHIVA DARCHEI TORAH;11/14/2022;AV;19-04;Expanded Polystyrene (EPS) single service article not designated as a recyclable material.;4,05967E+12;-7,37511E+13;414;31
YESHIVA DARCHEI TORAH;11/14/2022;CONGREGATION YESHIVA DARCHEI TORAH;08/05/2022;C;04N;Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.;4,05967E+12;-7,37511E+13;414;31
YESHIVA DARCHEI TORAH;11/14/2022;CONGREGATION YESHIVA DARCHEI TORAH;08/15/2022;C;04N;Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.;4,05967E+12;-7,37511E+13;414;31
